 TITLE LINE 1 - Subbasin ID 6 | Simulation Years: 1981-2020
 TITLE LINE 2 - Source: TrabajoFM model
 TITLE LINE 3 - Units: kg/day | DRAINAGE_AREA (km²): {area_str}
 TITLE LINE 4 - Period: 1981-2020
 TITLE LINE 5 - 
 YEAR            FLOYR            SEDYR           ORGNYR           ORGPYR            NO3YR            NH3YR            NO2YR           MINPYR           CBODYR          DISOXYR           CHLAYR         SOLPSTYR         SRBPSTYR          BACTPYR         BACTLPYR          CMTL1YR          CMTL2YR          CMTL3YR
 1981 2.4750000000E+01 1.7820000000E+01 3.7125000000E-01 7.4250000000E-02 0.0000000000E+00 6.1875000000E-01 0.0000000000E+00 1.2375000000E-01 5.4450000000E+00 6.1875000000E-02 2.5000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1982 2.4150000000E+01 1.7388000000E+01 3.6225000000E-01 7.2450000000E-02 0.0000000000E+00 6.0375000000E-01 0.0000000000E+00 1.2075000000E-01 5.3130000000E+00 6.0375000000E-02 2.4000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1983 2.3550000000E+01 1.6956000000E+01 3.5325000000E-01 7.0650000000E-02 0.0000000000E+00 5.8875000000E-01 0.0000000000E+00 1.1775000000E-01 5.1810000000E+00 5.8875000000E-02 2.4000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1984 2.2950000000E+01 1.6524000000E+01 3.4425000000E-01 6.8850000000E-02 0.0000000000E+00 5.7375000000E-01 0.0000000000E+00 1.1475000000E-01 5.0490000000E+00 5.7375000000E-02 2.3000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1985 2.2350000000E+01 1.6092000000E+01 3.3525000000E-01 6.7050000000E-02 0.0000000000E+00 5.5875000000E-01 0.0000000000E+00 1.1175000000E-01 4.9170000000E+00 5.5875000000E-02 2.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1986 2.1750000000E+01 1.5660000000E+01 3.2625000000E-01 6.5250000000E-02 0.0000000000E+00 5.4375000000E-01 0.0000000000E+00 1.0875000000E-01 4.7850000000E+00 5.4375000000E-02 2.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1987 2.1150000000E+01 1.5228000000E+01 3.1725000000E-01 6.3450000000E-02 0.0000000000E+00 5.2875000000E-01 0.0000000000E+00 1.0575000000E-01 4.6530000000E+00 5.2875000000E-02 2.1000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1988 2.0550000000E+01 1.4796000000E+01 3.0825000000E-01 6.1650000000E-02 0.0000000000E+00 5.1375000000E-01 0.0000000000E+00 1.0275000000E-01 4.5210000000E+00 5.1375000000E-02 2.1000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1989 1.9950000000E+01 1.4364000000E+01 2.9925000000E-01 5.9850000000E-02 0.0000000000E+00 4.9875000000E-01 0.0000000000E+00 9.9750000000E-02 4.3890000000E+00 4.9875000000E-02 2.0000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1990 1.9350000000E+01 1.3932000000E+01 2.9025000000E-01 5.8050000000E-02 0.0000000000E+00 4.8375000000E-01 0.0000000000E+00 9.6750000000E-02 4.2570000000E+00 4.8375000000E-02 1.9000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1991 1.8900000000E+01 1.3608000000E+01 2.8350000000E-01 5.6700000000E-02 0.0000000000E+00 4.7250000000E-01 0.0000000000E+00 9.4500000000E-02 4.1580000000E+00 4.7250000000E-02 1.9000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1992 1.8600000000E+01 1.3392000000E+01 2.7900000000E-01 5.5800000000E-02 0.0000000000E+00 4.6500000000E-01 0.0000000000E+00 9.3000000000E-02 4.0920000000E+00 4.6500000000E-02 1.9000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1993 1.8300000000E+01 1.3176000000E+01 2.7450000000E-01 5.4900000000E-02 0.0000000000E+00 4.5750000000E-01 0.0000000000E+00 9.1500000000E-02 4.0260000000E+00 4.5750000000E-02 1.8000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1994 1.8000000000E+01 1.2960000000E+01 2.7000000000E-01 5.4000000000E-02 0.0000000000E+00 4.5000000000E-01 0.0000000000E+00 9.0000000000E-02 3.9600000000E+00 4.5000000000E-02 1.8000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1995 1.7700000000E+01 1.2744000000E+01 2.6550000000E-01 5.3100000000E-02 0.0000000000E+00 4.4250000000E-01 0.0000000000E+00 8.8500000000E-02 3.8940000000E+00 4.4250000000E-02 1.8000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
