 TITLE LINE 1 - Subbasin ID 1 | Simulation Years: 1981-2020
 TITLE LINE 2 - Source: TrabajoFM model
 TITLE LINE 3 - Units: kg/day | DRAINAGE_AREA (km²): {area_str}
 TITLE LINE 4 - Period: 1981-2020
 TITLE LINE 5 - 
 YEAR            FLOYR            SEDYR           ORGNYR           ORGPYR            NO3YR            NH3YR            NO2YR           MINPYR           CBODYR          DISOXYR           CHLAYR         SOLPSTYR         SRBPSTYR          BACTPYR         BACTLPYR          CMTL1YR          CMTL2YR          CMTL3YR
 1981 2.0985000000E+02 1.5109200000E+02 3.1477500000E+00 6.2955000000E-01 0.0000000000E+00 5.2462500000E+00 0.0000000000E+00 1.0492500000E+00 4.6167000000E+01 5.2462500000E-01 2.1000000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1982 2.0895000000E+02 1.5044400000E+02 3.1342500000E+00 6.2685000000E-01 0.0000000000E+00 5.2237500000E+00 0.0000000000E+00 1.0447500000E+00 4.5969000000E+01 5.2237500000E-01 2.0900000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1983 2.0805000000E+02 1.4979600000E+02 3.1207500000E+00 6.2415000000E-01 0.0000000000E+00 5.2012500000E+00 0.0000000000E+00 1.0402500000E+00 4.5771000000E+01 5.2012500000E-01 2.0800000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1984 2.0715000000E+02 1.4914800000E+02 3.1072500000E+00 6.2145000000E-01 0.0000000000E+00 5.1787500000E+00 0.0000000000E+00 1.0357500000E+00 4.5573000000E+01 5.1787500000E-01 2.0700000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1985 2.0625000000E+02 1.4850000000E+02 3.0937500000E+00 6.1875000000E-01 0.0000000000E+00 5.1562500000E+00 0.0000000000E+00 1.0312500000E+00 4.5375000000E+01 5.1562500000E-01 2.0600000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1986 2.0535000000E+02 1.4785200000E+02 3.0802500000E+00 6.1605000000E-01 0.0000000000E+00 5.1337500000E+00 0.0000000000E+00 1.0267500000E+00 4.5177000000E+01 5.1337500000E-01 2.0500000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1987 2.0445000000E+02 1.4720400000E+02 3.0667500000E+00 6.1335000000E-01 0.0000000000E+00 5.1112500000E+00 0.0000000000E+00 1.0222500000E+00 4.4979000000E+01 5.1112500000E-01 2.0400000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1988 2.0355000000E+02 1.4655600000E+02 3.0532500000E+00 6.1065000000E-01 0.0000000000E+00 5.0887500000E+00 0.0000000000E+00 1.0177500000E+00 4.4781000000E+01 5.0887500000E-01 2.0400000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1989 2.0265000000E+02 1.4590800000E+02 3.0397500000E+00 6.0795000000E-01 0.0000000000E+00 5.0662500000E+00 0.0000000000E+00 1.0132500000E+00 4.4583000000E+01 5.0662500000E-01 2.0300000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1990 2.0175000000E+02 1.4526000000E+02 3.0262500000E+00 6.0525000000E-01 0.0000000000E+00 5.0437500000E+00 0.0000000000E+00 1.0087500000E+00 4.4385000000E+01 5.0437500000E-01 2.0200000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1991 2.0085000000E+02 1.4461200000E+02 3.0127500000E+00 6.0255000000E-01 0.0000000000E+00 5.0212500000E+00 0.0000000000E+00 1.0042500000E+00 4.4187000000E+01 5.0212500000E-01 2.0100000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1992 2.0025000000E+02 1.4418000000E+02 3.0037500000E+00 6.0075000000E-01 0.0000000000E+00 5.0062500000E+00 0.0000000000E+00 1.0012500000E+00 4.4055000000E+01 5.0062500000E-01 2.0000000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1993 1.9980000000E+02 1.4385600000E+02 2.9970000000E+00 5.9940000000E-01 0.0000000000E+00 4.9950000000E+00 0.0000000000E+00 9.9900000000E-01 4.3956000000E+01 4.9950000000E-01 2.0000000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
