 TITLE LINE 1 - Subbasin ID 14 | Simulation Years: 1981-2020
 TITLE LINE 2 - Source: TrabajoFM model
 TITLE LINE 3 - Units: kg/day | DRAINAGE_AREA (km²): {area_str}
 TITLE LINE 4 - Period: 1981-2020
 TITLE LINE 5 - 
 YEAR            FLOYR            SEDYR           ORGNYR           ORGPYR            NO3YR            NH3YR            NO2YR           MINPYR           CBODYR          DISOXYR           CHLAYR         SOLPSTYR         SRBPSTYR          BACTPYR         BACTLPYR          CMTL1YR          CMTL2YR          CMTL3YR
 1981 3.6000000000E+00 2.5920000000E+00 5.4000000000E-02 1.0800000000E-02 0.0000000000E+00 9.0000000000E-02 0.0000000000E+00 1.8000000000E-02 7.9200000000E-01 9.0000000000E-03 4.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1982 4.0500000000E+00 2.9160000000E+00 6.0750000000E-02 1.2150000000E-02 0.0000000000E+00 1.0125000000E-01 0.0000000000E+00 2.0250000000E-02 8.9100000000E-01 1.0125000000E-02 4.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1983 4.5000000000E+00 3.2400000000E+00 6.7500000000E-02 1.3500000000E-02 0.0000000000E+00 1.1250000000E-01 0.0000000000E+00 2.2500000000E-02 9.9000000000E-01 1.1250000000E-02 5.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1984 4.9500000000E+00 3.5640000000E+00 7.4250000000E-02 1.4850000000E-02 0.0000000000E+00 1.2375000000E-01 0.0000000000E+00 2.4750000000E-02 1.0890000000E+00 1.2375000000E-02 5.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1985 5.4000000000E+00 3.8880000000E+00 8.1000000000E-02 1.6200000000E-02 0.0000000000E+00 1.3500000000E-01 0.0000000000E+00 2.7000000000E-02 1.1880000000E+00 1.3500000000E-02 5.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1986 5.8500000000E+00 4.2120000000E+00 8.7750000000E-02 1.7550000000E-02 0.0000000000E+00 1.4625000000E-01 0.0000000000E+00 2.9250000000E-02 1.2870000000E+00 1.4625000000E-02 6.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1987 6.3000000000E+00 4.5360000000E+00 9.4500000000E-02 1.8900000000E-02 0.0000000000E+00 1.5750000000E-01 0.0000000000E+00 3.1500000000E-02 1.3860000000E+00 1.5750000000E-02 6.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1988 6.7500000000E+00 4.8600000000E+00 1.0125000000E-01 2.0250000000E-02 0.0000000000E+00 1.6875000000E-01 0.0000000000E+00 3.3750000000E-02 1.4850000000E+00 1.6875000000E-02 7.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1989 7.2000000000E+00 5.1840000000E+00 1.0800000000E-01 2.1600000000E-02 0.0000000000E+00 1.8000000000E-01 0.0000000000E+00 3.6000000000E-02 1.5840000000E+00 1.8000000000E-02 7.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1990 7.6500000000E+00 5.5080000000E+00 1.1475000000E-01 2.2950000000E-02 0.0000000000E+00 1.9125000000E-01 0.0000000000E+00 3.8250000000E-02 1.6830000000E+00 1.9125000000E-02 8.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1991 8.2500000000E+00 5.9400000000E+00 1.2375000000E-01 2.4750000000E-02 0.0000000000E+00 2.0625000000E-01 0.0000000000E+00 4.1250000000E-02 1.8150000000E+00 2.0625000000E-02 8.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1992 9.1500000000E+00 6.5880000000E+00 1.3725000000E-01 2.7450000000E-02 0.0000000000E+00 2.2875000000E-01 0.0000000000E+00 4.5750000000E-02 2.0130000000E+00 2.2875000000E-02 9.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1993 1.0200000000E+01 7.3440000000E+00 1.5300000000E-01 3.0600000000E-02 0.0000000000E+00 2.5500000000E-01 0.0000000000E+00 5.1000000000E-02 2.2440000000E+00 2.5500000000E-02 1.0000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1994 1.1250000000E+01 8.1000000000E+00 1.6875000000E-01 3.3750000000E-02 0.0000000000E+00 2.8125000000E-01 0.0000000000E+00 5.6250000000E-02 2.4750000000E+00 2.8125000000E-02 1.1000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1995 1.2300000000E+01 8.8560000000E+00 1.8450000000E-01 3.6900000000E-02 0.0000000000E+00 3.0750000000E-01 0.0000000000E+00 6.1500000000E-02 2.7060000000E+00 3.0750000000E-02 1.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1996 1.3350000000E+01 9.6120000000E+00 2.0025000000E-01 4.0050000000E-02 0.0000000000E+00 3.3375000000E-01 0.0000000000E+00 6.6750000000E-02 2.9370000000E+00 3.3375000000E-02 1.3000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
