 TITLE LINE 1 - Subbasin ID 7 | Simulation Years: 1981-2020
 TITLE LINE 2 - Source: TrabajoFM model
 TITLE LINE 3 - Units: kg/day | DRAINAGE_AREA (km²): {area_str}
 TITLE LINE 4 - Period: 1981-2020
 TITLE LINE 5 - 
 YEAR            FLOYR            SEDYR           ORGNYR           ORGPYR            NO3YR            NH3YR            NO2YR           MINPYR           CBODYR          DISOXYR           CHLAYR         SOLPSTYR         SRBPSTYR          BACTPYR         BACTLPYR          CMTL1YR          CMTL2YR          CMTL3YR
 1981 1.5000000000E+01 1.0800000000E+01 2.2500000000E-01 4.5000000000E-02 0.0000000000E+00 3.7500000000E-01 0.0000000000E+00 7.5000000000E-02 3.3000000000E+00 3.7500000000E-02 1.5000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1982 1.4550000000E+01 1.0476000000E+01 2.1825000000E-01 4.3650000000E-02 0.0000000000E+00 3.6375000000E-01 0.0000000000E+00 7.2750000000E-02 3.2010000000E+00 3.6375000000E-02 1.5000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1983 1.4250000000E+01 1.0260000000E+01 2.1375000000E-01 4.2750000000E-02 0.0000000000E+00 3.5625000000E-01 0.0000000000E+00 7.1250000000E-02 3.1350000000E+00 3.5625000000E-02 1.4000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1984 1.3950000000E+01 1.0044000000E+01 2.0925000000E-01 4.1850000000E-02 0.0000000000E+00 3.4875000000E-01 0.0000000000E+00 6.9750000000E-02 3.0690000000E+00 3.4875000000E-02 1.4000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1985 1.3500000000E+01 9.7200000000E+00 2.0250000000E-01 4.0500000000E-02 0.0000000000E+00 3.3750000000E-01 0.0000000000E+00 6.7500000000E-02 2.9700000000E+00 3.3750000000E-02 1.3000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1986 1.3200000000E+01 9.5040000000E+00 1.9800000000E-01 3.9600000000E-02 0.0000000000E+00 3.3000000000E-01 0.0000000000E+00 6.6000000000E-02 2.9040000000E+00 3.3000000000E-02 1.3000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1987 1.2900000000E+01 9.2880000000E+00 1.9350000000E-01 3.8700000000E-02 0.0000000000E+00 3.2250000000E-01 0.0000000000E+00 6.4500000000E-02 2.8380000000E+00 3.2250000000E-02 1.3000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1988 1.2450000000E+01 8.9640000000E+00 1.8675000000E-01 3.7350000000E-02 0.0000000000E+00 3.1125000000E-01 0.0000000000E+00 6.2250000000E-02 2.7390000000E+00 3.1125000000E-02 1.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1989 1.2150000000E+01 8.7480000000E+00 1.8225000000E-01 3.6450000000E-02 0.0000000000E+00 3.0375000000E-01 0.0000000000E+00 6.0750000000E-02 2.6730000000E+00 3.0375000000E-02 1.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1990 1.1850000000E+01 8.5320000000E+00 1.7775000000E-01 3.5550000000E-02 0.0000000000E+00 2.9625000000E-01 0.0000000000E+00 5.9250000000E-02 2.6070000000E+00 2.9625000000E-02 1.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1991 1.1550000000E+01 8.3160000000E+00 1.7325000000E-01 3.4650000000E-02 0.0000000000E+00 2.8875000000E-01 0.0000000000E+00 5.7750000000E-02 2.5410000000E+00 2.8875000000E-02 1.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1992 1.2000000000E+01 8.6400000000E+00 1.8000000000E-01 3.6000000000E-02 0.0000000000E+00 3.0000000000E-01 0.0000000000E+00 6.0000000000E-02 2.6400000000E+00 3.0000000000E-02 1.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1993 1.2600000000E+01 9.0720000000E+00 1.8900000000E-01 3.7800000000E-02 0.0000000000E+00 3.1500000000E-01 0.0000000000E+00 6.3000000000E-02 2.7720000000E+00 3.1500000000E-02 1.3000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1994 1.3200000000E+01 9.5040000000E+00 1.9800000000E-01 3.9600000000E-02 0.0000000000E+00 3.3000000000E-01 0.0000000000E+00 6.6000000000E-02 2.9040000000E+00 3.3000000000E-02 1.3000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1995 1.3650000000E+01 9.8280000000E+00 2.0475000000E-01 4.0950000000E-02 0.0000000000E+00 3.4125000000E-01 0.0000000000E+00 6.8250000000E-02 3.0030000000E+00 3.4125000000E-02 1.4000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1996 1.4250000000E+01 1.0260000000E+01 2.1375000000E-01 4.2750000000E-02 0.0000000000E+00 3.5625000000E-01 0.0000000000E+00 7.1250000000E-02 3.1350000000E+00 3.5625000000E-02 1.4000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1997 1.4850000000E+01 1.0692000000E+01 2.2275000000E-01 4.4550000000E-02 0.0000000000E+00 3.7125000000E-01 0.0000000000E+00 7.4250000000E-02 3.2670000000E+00 3.7125000000E-02 1.5000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
