 TITLE LINE 1 - Subbasin ID 5 | Simulation Years: 1981-2020
 TITLE LINE 2 - Source: TrabajoFM model
 TITLE LINE 3 - Units: kg/day | DRAINAGE_AREA (km²): {area_str}
 TITLE LINE 4 - Period: 1981-2020
 TITLE LINE 5 - 
 YEAR            FLOYR            SEDYR           ORGNYR           ORGPYR            NO3YR            NH3YR            NO2YR           MINPYR           CBODYR          DISOXYR           CHLAYR         SOLPSTYR         SRBPSTYR          BACTPYR         BACTLPYR          CMTL1YR          CMTL2YR          CMTL3YR
 1981 1.3890000000E+02 1.0000800000E+02 2.0835000000E+00 4.1670000000E-01 0.0000000000E+00 3.4725000000E+00 0.0000000000E+00 6.9450000000E-01 3.0558000000E+01 3.4725000000E-01 1.3900000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1982 1.3920000000E+02 1.0022400000E+02 2.0880000000E+00 4.1760000000E-01 0.0000000000E+00 3.4800000000E+00 0.0000000000E+00 6.9600000000E-01 3.0624000000E+01 3.4800000000E-01 1.3900000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1983 1.3965000000E+02 1.0054800000E+02 2.0947500000E+00 4.1895000000E-01 0.0000000000E+00 3.4912500000E+00 0.0000000000E+00 6.9825000000E-01 3.0723000000E+01 3.4912500000E-01 1.4000000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1984 1.4010000000E+02 1.0087200000E+02 2.1015000000E+00 4.2030000000E-01 0.0000000000E+00 3.5025000000E+00 0.0000000000E+00 7.0050000000E-01 3.0822000000E+01 3.5025000000E-01 1.4000000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1985 1.4055000000E+02 1.0119600000E+02 2.1082500000E+00 4.2165000000E-01 0.0000000000E+00 3.5137500000E+00 0.0000000000E+00 7.0275000000E-01 3.0921000000E+01 3.5137500000E-01 1.4100000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1986 1.4100000000E+02 1.0152000000E+02 2.1150000000E+00 4.2300000000E-01 0.0000000000E+00 3.5250000000E+00 0.0000000000E+00 7.0500000000E-01 3.1020000000E+01 3.5250000000E-01 1.4100000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1987 1.4130000000E+02 1.0173600000E+02 2.1195000000E+00 4.2390000000E-01 0.0000000000E+00 3.5325000000E+00 0.0000000000E+00 7.0650000000E-01 3.1086000000E+01 3.5325000000E-01 1.4100000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1988 1.4175000000E+02 1.0206000000E+02 2.1262500000E+00 4.2525000000E-01 0.0000000000E+00 3.5437500000E+00 0.0000000000E+00 7.0875000000E-01 3.1185000000E+01 3.5437500000E-01 1.4200000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1989 1.4220000000E+02 1.0238400000E+02 2.1330000000E+00 4.2660000000E-01 0.0000000000E+00 3.5550000000E+00 0.0000000000E+00 7.1100000000E-01 3.1284000000E+01 3.5550000000E-01 1.4200000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1990 1.4265000000E+02 1.0270800000E+02 2.1397500000E+00 4.2795000000E-01 0.0000000000E+00 3.5662500000E+00 0.0000000000E+00 7.1325000000E-01 3.1383000000E+01 3.5662500000E-01 1.4300000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
