 TITLE LINE 1 - Subbasin ID 9 | Simulation Years: 1981-2020
 TITLE LINE 2 - Source: TrabajoFM model
 TITLE LINE 3 - Units: kg/day | DRAINAGE_AREA (km²): {area_str}
 TITLE LINE 4 - Period: 1981-2020
 TITLE LINE 5 - 
 YEAR            FLOYR            SEDYR           ORGNYR           ORGPYR            NO3YR            NH3YR            NO2YR           MINPYR           CBODYR          DISOXYR           CHLAYR         SOLPSTYR         SRBPSTYR          BACTPYR         BACTLPYR          CMTL1YR          CMTL2YR          CMTL3YR
 1981 8.1000000000E+00 5.8320000000E+00 1.2150000000E-01 2.4300000000E-02 0.0000000000E+00 2.0250000000E-01 0.0000000000E+00 4.0500000000E-02 1.7820000000E+00 2.0250000000E-02 8.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1982 7.9500000000E+00 5.7240000000E+00 1.1925000000E-01 2.3850000000E-02 0.0000000000E+00 1.9875000000E-01 0.0000000000E+00 3.9750000000E-02 1.7490000000E+00 1.9875000000E-02 8.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1983 7.8000000000E+00 5.6160000000E+00 1.1700000000E-01 2.3400000000E-02 0.0000000000E+00 1.9500000000E-01 0.0000000000E+00 3.9000000000E-02 1.7160000000E+00 1.9500000000E-02 8.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1984 7.6500000000E+00 5.5080000000E+00 1.1475000000E-01 2.2950000000E-02 0.0000000000E+00 1.9125000000E-01 0.0000000000E+00 3.8250000000E-02 1.6830000000E+00 1.9125000000E-02 8.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1985 7.5000000000E+00 5.4000000000E+00 1.1250000000E-01 2.2500000000E-02 0.0000000000E+00 1.8750000000E-01 0.0000000000E+00 3.7500000000E-02 1.6500000000E+00 1.8750000000E-02 8.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1986 7.3500000000E+00 5.2920000000E+00 1.1025000000E-01 2.2050000000E-02 0.0000000000E+00 1.8375000000E-01 0.0000000000E+00 3.6750000000E-02 1.6170000000E+00 1.8375000000E-02 7.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1987 7.2000000000E+00 5.1840000000E+00 1.0800000000E-01 2.1600000000E-02 0.0000000000E+00 1.8000000000E-01 0.0000000000E+00 3.6000000000E-02 1.5840000000E+00 1.8000000000E-02 7.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1988 7.0500000000E+00 5.0760000000E+00 1.0575000000E-01 2.1150000000E-02 0.0000000000E+00 1.7625000000E-01 0.0000000000E+00 3.5250000000E-02 1.5510000000E+00 1.7625000000E-02 7.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1989 6.9000000000E+00 4.9680000000E+00 1.0350000000E-01 2.0700000000E-02 0.0000000000E+00 1.7250000000E-01 0.0000000000E+00 3.4500000000E-02 1.5180000000E+00 1.7250000000E-02 7.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1990 6.7500000000E+00 4.8600000000E+00 1.0125000000E-01 2.0250000000E-02 0.0000000000E+00 1.6875000000E-01 0.0000000000E+00 3.3750000000E-02 1.4850000000E+00 1.6875000000E-02 7.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1991 6.6000000000E+00 4.7520000000E+00 9.9000000000E-02 1.9800000000E-02 0.0000000000E+00 1.6500000000E-01 0.0000000000E+00 3.3000000000E-02 1.4520000000E+00 1.6500000000E-02 7.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1992 6.4500000000E+00 4.6440000000E+00 9.6750000000E-02 1.9350000000E-02 0.0000000000E+00 1.6125000000E-01 0.0000000000E+00 3.2250000000E-02 1.4190000000E+00 1.6125000000E-02 6.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
