 TITLE LINE 1 - Subbasin ID 15 | Simulation Years: 1981-2020
 TITLE LINE 2 - Source: TrabajoFM model
 TITLE LINE 3 - Units: kg/day | DRAINAGE_AREA (km²): {area_str}
 TITLE LINE 4 - Period: 1981-2020
 TITLE LINE 5 - 
 YEAR            FLOYR            SEDYR           ORGNYR           ORGPYR            NO3YR            NH3YR            NO2YR           MINPYR           CBODYR          DISOXYR           CHLAYR         SOLPSTYR         SRBPSTYR          BACTPYR         BACTLPYR          CMTL1YR          CMTL2YR          CMTL3YR
 1981 4.6500000000E+01 3.3480000000E+01 6.9750000000E-01 1.3950000000E-01 0.0000000000E+00 1.1625000000E+00 0.0000000000E+00 2.3250000000E-01 1.0230000000E+01 1.1625000000E-01 4.6000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1982 6.0600000000E+01 4.3632000000E+01 9.0900000000E-01 1.8180000000E-01 0.0000000000E+00 1.5150000000E+00 0.0000000000E+00 3.0300000000E-01 1.3332000000E+01 1.5150000000E-01 6.1000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1983 7.4850000000E+01 5.3892000000E+01 1.1227500000E+00 2.2455000000E-01 0.0000000000E+00 1.8712500000E+00 0.0000000000E+00 3.7425000000E-01 1.6467000000E+01 1.8712500000E-01 7.5000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1984 8.9100000000E+01 6.4152000000E+01 1.3365000000E+00 2.6730000000E-01 0.0000000000E+00 2.2275000000E+00 0.0000000000E+00 4.4550000000E-01 1.9602000000E+01 2.2275000000E-01 8.9000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1985 1.0335000000E+02 7.4412000000E+01 1.5502500000E+00 3.1005000000E-01 0.0000000000E+00 2.5837500000E+00 0.0000000000E+00 5.1675000000E-01 2.2737000000E+01 2.5837500000E-01 1.0300000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1986 1.1760000000E+02 8.4672000000E+01 1.7640000000E+00 3.5280000000E-01 0.0000000000E+00 2.9400000000E+00 0.0000000000E+00 5.8800000000E-01 2.5872000000E+01 2.9400000000E-01 1.1800000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1987 1.3185000000E+02 9.4932000000E+01 1.9777500000E+00 3.9555000000E-01 0.0000000000E+00 3.2962500000E+00 0.0000000000E+00 6.5925000000E-01 2.9007000000E+01 3.2962500000E-01 1.3200000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1988 1.4610000000E+02 1.0519200000E+02 2.1915000000E+00 4.3830000000E-01 0.0000000000E+00 3.6525000000E+00 0.0000000000E+00 7.3050000000E-01 3.2142000000E+01 3.6525000000E-01 1.4600000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1989 1.6035000000E+02 1.1545200000E+02 2.4052500000E+00 4.8105000000E-01 0.0000000000E+00 4.0087500000E+00 0.0000000000E+00 8.0175000000E-01 3.5277000000E+01 4.0087500000E-01 1.6000000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1990 1.7460000000E+02 1.2571200000E+02 2.6190000000E+00 5.2380000000E-01 0.0000000000E+00 4.3650000000E+00 0.0000000000E+00 8.7300000000E-01 3.8412000000E+01 4.3650000000E-01 1.7500000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1991 1.8885000000E+02 1.3597200000E+02 2.8327500000E+00 5.6655000000E-01 0.0000000000E+00 4.7212500000E+00 0.0000000000E+00 9.4425000000E-01 4.1547000000E+01 4.7212500000E-01 1.8900000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1992 1.8930000000E+02 1.3629600000E+02 2.8395000000E+00 5.6790000000E-01 0.0000000000E+00 4.7325000000E+00 0.0000000000E+00 9.4650000000E-01 4.1646000000E+01 4.7325000000E-01 1.8900000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1993 1.8990000000E+02 1.3672800000E+02 2.8485000000E+00 5.6970000000E-01 0.0000000000E+00 4.7475000000E+00 0.0000000000E+00 9.4950000000E-01 4.1778000000E+01 4.7475000000E-01 1.9000000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1994 1.9035000000E+02 1.3705200000E+02 2.8552500000E+00 5.7105000000E-01 0.0000000000E+00 4.7587500000E+00 0.0000000000E+00 9.5175000000E-01 4.1877000000E+01 4.7587500000E-01 1.9000000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1995 1.9095000000E+02 1.3748400000E+02 2.8642500000E+00 5.7285000000E-01 0.0000000000E+00 4.7737500000E+00 0.0000000000E+00 9.5475000000E-01 4.2009000000E+01 4.7737500000E-01 1.9100000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1996 1.9140000000E+02 1.3780800000E+02 2.8710000000E+00 5.7420000000E-01 0.0000000000E+00 4.7850000000E+00 0.0000000000E+00 9.5700000000E-01 4.2108000000E+01 4.7850000000E-01 1.9100000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1997 1.9200000000E+02 1.3824000000E+02 2.8800000000E+00 5.7600000000E-01 0.0000000000E+00 4.8000000000E+00 0.0000000000E+00 9.6000000000E-01 4.2240000000E+01 4.8000000000E-01 1.9200000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1998 1.9245000000E+02 1.3856400000E+02 2.8867500000E+00 5.7735000000E-01 0.0000000000E+00 4.8112500000E+00 0.0000000000E+00 9.6225000000E-01 4.2339000000E+01 4.8112500000E-01 1.9200000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1999 1.9305000000E+02 1.3899600000E+02 2.8957500000E+00 5.7915000000E-01 0.0000000000E+00 4.8262500000E+00 0.0000000000E+00 9.6525000000E-01 4.2471000000E+01 4.8262500000E-01 1.9300000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2000 1.9350000000E+02 1.3932000000E+02 2.9025000000E+00 5.8050000000E-01 0.0000000000E+00 4.8375000000E+00 0.0000000000E+00 9.6750000000E-01 4.2570000000E+01 4.8375000000E-01 1.9300000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2001 1.9410000000E+02 1.3975200000E+02 2.9115000000E+00 5.8230000000E-01 0.0000000000E+00 4.8525000000E+00 0.0000000000E+00 9.7050000000E-01 4.2702000000E+01 4.8525000000E-01 1.9400000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
