 TITLE LINE 1 - Subbasin ID 11 | Simulation Years: 1981-2020
 TITLE LINE 2 - Source: TrabajoFM model
 TITLE LINE 3 - Units: kg/day | DRAINAGE_AREA (km²): {area_str}
 TITLE LINE 4 - Period: 1981-2020
 TITLE LINE 5 - 
 YEAR            FLOYR            SEDYR           ORGNYR           ORGPYR            NO3YR            NH3YR            NO2YR           MINPYR           CBODYR          DISOXYR           CHLAYR         SOLPSTYR         SRBPSTYR          BACTPYR         BACTLPYR          CMTL1YR          CMTL2YR          CMTL3YR
 1981 3.6690000000E+02 2.6416800000E+02 5.5035000000E+00 1.1007000000E+00 0.0000000000E+00 9.1725000000E+00 0.0000000000E+00 1.8345000000E+00 8.0718000000E+01 9.1725000000E-01 3.6700000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1982 3.6825000000E+02 2.6514000000E+02 5.5237500000E+00 1.1047500000E+00 0.0000000000E+00 9.2062500000E+00 0.0000000000E+00 1.8412500000E+00 8.1015000000E+01 9.2062500000E-01 3.6800000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1983 3.6975000000E+02 2.6622000000E+02 5.5462500000E+00 1.1092500000E+00 0.0000000000E+00 9.2437500000E+00 0.0000000000E+00 1.8487500000E+00 8.1345000000E+01 9.2437500000E-01 3.7000000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1984 3.7125000000E+02 2.6730000000E+02 5.5687500000E+00 1.1137500000E+00 0.0000000000E+00 9.2812500000E+00 0.0000000000E+00 1.8562500000E+00 8.1675000000E+01 9.2812500000E-01 3.7100000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1985 3.7260000000E+02 2.6827200000E+02 5.5890000000E+00 1.1178000000E+00 0.0000000000E+00 9.3150000000E+00 0.0000000000E+00 1.8630000000E+00 8.1972000000E+01 9.3150000000E-01 3.7300000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1986 3.7410000000E+02 2.6935200000E+02 5.6115000000E+00 1.1223000000E+00 0.0000000000E+00 9.3525000000E+00 0.0000000000E+00 1.8705000000E+00 8.2302000000E+01 9.3525000000E-01 3.7400000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1987 3.7560000000E+02 2.7043200000E+02 5.6340000000E+00 1.1268000000E+00 0.0000000000E+00 9.3900000000E+00 0.0000000000E+00 1.8780000000E+00 8.2632000000E+01 9.3900000000E-01 3.7600000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1988 3.7695000000E+02 2.7140400000E+02 5.6542500000E+00 1.1308500000E+00 0.0000000000E+00 9.4237500000E+00 0.0000000000E+00 1.8847500000E+00 8.2929000000E+01 9.4237500000E-01 3.7700000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1989 3.7845000000E+02 2.7248400000E+02 5.6767500000E+00 1.1353500000E+00 0.0000000000E+00 9.4612500000E+00 0.0000000000E+00 1.8922500000E+00 8.3259000000E+01 9.4612500000E-01 3.7800000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1990 3.7995000000E+02 2.7356400000E+02 5.6992500000E+00 1.1398500000E+00 0.0000000000E+00 9.4987500000E+00 0.0000000000E+00 1.8997500000E+00 8.3589000000E+01 9.4987500000E-01 3.8000000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1991 3.8145000000E+02 2.7464400000E+02 5.7217500000E+00 1.1443500000E+00 0.0000000000E+00 9.5362500000E+00 0.0000000000E+00 1.9072500000E+00 8.3919000000E+01 9.5362500000E-01 3.8100000000E-04 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
