 TITLE LINE 1 - Subbasin ID 8 | Simulation Years: 1981-2020
 TITLE LINE 2 - Source: TrabajoFM model
 TITLE LINE 3 - Units: kg/day | DRAINAGE_AREA (km²): {area_str}
 TITLE LINE 4 - Period: 1981-2020
 TITLE LINE 5 - 
 YEAR            FLOYR            SEDYR           ORGNYR           ORGPYR            NO3YR            NH3YR            NO2YR           MINPYR           CBODYR          DISOXYR           CHLAYR         SOLPSTYR         SRBPSTYR          BACTPYR         BACTLPYR          CMTL1YR          CMTL2YR          CMTL3YR
 1994 6.0900000000E+01 4.3848000000E+01 9.1350000000E-01 1.8270000000E-01 0.0000000000E+00 1.5225000000E+00 0.0000000000E+00 3.0450000000E-01 1.3398000000E+01 1.5225000000E-01 6.1000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1995 6.0300000000E+01 4.3416000000E+01 9.0450000000E-01 1.8090000000E-01 0.0000000000E+00 1.5075000000E+00 0.0000000000E+00 3.0150000000E-01 1.3266000000E+01 1.5075000000E-01 6.0000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1996 5.9550000000E+01 4.2876000000E+01 8.9325000000E-01 1.7865000000E-01 0.0000000000E+00 1.4887500000E+00 0.0000000000E+00 2.9775000000E-01 1.3101000000E+01 1.4887500000E-01 6.0000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1997 5.8950000000E+01 4.2444000000E+01 8.8425000000E-01 1.7685000000E-01 0.0000000000E+00 1.4737500000E+00 0.0000000000E+00 2.9475000000E-01 1.2969000000E+01 1.4737500000E-01 5.9000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1998 5.8200000000E+01 4.1904000000E+01 8.7300000000E-01 1.7460000000E-01 0.0000000000E+00 1.4550000000E+00 0.0000000000E+00 2.9100000000E-01 1.2804000000E+01 1.4550000000E-01 5.8000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1999 5.7600000000E+01 4.1472000000E+01 8.6400000000E-01 1.7280000000E-01 0.0000000000E+00 1.4400000000E+00 0.0000000000E+00 2.8800000000E-01 1.2672000000E+01 1.4400000000E-01 5.8000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2000 5.6850000000E+01 4.0932000000E+01 8.5275000000E-01 1.7055000000E-01 0.0000000000E+00 1.4212500000E+00 0.0000000000E+00 2.8425000000E-01 1.2507000000E+01 1.4212500000E-01 5.7000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2001 5.6250000000E+01 4.0500000000E+01 8.4375000000E-01 1.6875000000E-01 0.0000000000E+00 1.4062500000E+00 0.0000000000E+00 2.8125000000E-01 1.2375000000E+01 1.4062500000E-01 5.6000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2002 5.5650000000E+01 4.0068000000E+01 8.3475000000E-01 1.6695000000E-01 0.0000000000E+00 1.3912500000E+00 0.0000000000E+00 2.7825000000E-01 1.2243000000E+01 1.3912500000E-01 5.6000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 2003 5.5050000000E+01 3.9636000000E+01 8.2575000000E-01 1.6515000000E-01 0.0000000000E+00 1.3762500000E+00 0.0000000000E+00 2.7525000000E-01 1.2111000000E+01 1.3762500000E-01 5.5000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
