 TITLE LINE 1 - Subbasin ID 12 | Simulation Years: 1981-2020
 TITLE LINE 2 - Source: TrabajoFM model
 TITLE LINE 3 - Units: kg/day | DRAINAGE_AREA (km²): {area_str}
 TITLE LINE 4 - Period: 1981-2020
 TITLE LINE 5 - 
 YEAR            FLOYR            SEDYR           ORGNYR           ORGPYR            NO3YR            NH3YR            NO2YR           MINPYR           CBODYR          DISOXYR           CHLAYR         SOLPSTYR         SRBPSTYR          BACTPYR         BACTLPYR          CMTL1YR          CMTL2YR          CMTL3YR
 1981 7.5000000000E-01 5.4000000000E-01 1.1250000000E-02 2.2500000000E-03 0.0000000000E+00 1.8750000000E-02 0.0000000000E+00 3.7500000000E-03 1.6500000000E-01 1.8750000000E-03 1.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1982 9.0000000000E-01 6.4800000000E-01 1.3500000000E-02 2.7000000000E-03 0.0000000000E+00 2.2500000000E-02 0.0000000000E+00 4.5000000000E-03 1.9800000000E-01 2.2500000000E-03 1.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1983 1.0500000000E+00 7.5600000000E-01 1.5750000000E-02 3.1500000000E-03 0.0000000000E+00 2.6250000000E-02 0.0000000000E+00 5.2500000000E-03 2.3100000000E-01 2.6250000000E-03 1.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1984 1.2000000000E+00 8.6400000000E-01 1.8000000000E-02 3.6000000000E-03 0.0000000000E+00 3.0000000000E-02 0.0000000000E+00 6.0000000000E-03 2.6400000000E-01 3.0000000000E-03 1.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1985 1.3500000000E+00 9.7200000000E-01 2.0250000000E-02 4.0500000000E-03 0.0000000000E+00 3.3750000000E-02 0.0000000000E+00 6.7500000000E-03 2.9700000000E-01 3.3750000000E-03 1.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1986 1.5000000000E+00 1.0800000000E+00 2.2500000000E-02 4.5000000000E-03 0.0000000000E+00 3.7500000000E-02 0.0000000000E+00 7.5000000000E-03 3.3000000000E-01 3.7500000000E-03 2.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1987 1.6500000000E+00 1.1880000000E+00 2.4750000000E-02 4.9500000000E-03 0.0000000000E+00 4.1250000000E-02 0.0000000000E+00 8.2500000000E-03 3.6300000000E-01 4.1250000000E-03 2.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1988 1.8000000000E+00 1.2960000000E+00 2.7000000000E-02 5.4000000000E-03 0.0000000000E+00 4.5000000000E-02 0.0000000000E+00 9.0000000000E-03 3.9600000000E-01 4.5000000000E-03 2.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1989 1.9500000000E+00 1.4040000000E+00 2.9250000000E-02 5.8500000000E-03 0.0000000000E+00 4.8750000000E-02 0.0000000000E+00 9.7500000000E-03 4.2900000000E-01 4.8750000000E-03 2.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1990 2.1000000000E+00 1.5120000000E+00 3.1500000000E-02 6.3000000000E-03 0.0000000000E+00 5.2500000000E-02 0.0000000000E+00 1.0500000000E-02 4.6200000000E-01 5.2500000000E-03 2.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
