 TITLE LINE 1 - Subbasin ID 17 | Simulation Years: 1981-2020
 TITLE LINE 2 - Source: TrabajoFM model
 TITLE LINE 3 - Units: kg/day | DRAINAGE_AREA (km²): {area_str}
 TITLE LINE 4 - Period: 1981-2020
 TITLE LINE 5 - 
 YEAR            FLOYR            SEDYR           ORGNYR           ORGPYR            NO3YR            NH3YR            NO2YR           MINPYR           CBODYR          DISOXYR           CHLAYR         SOLPSTYR         SRBPSTYR          BACTPYR         BACTLPYR          CMTL1YR          CMTL2YR          CMTL3YR
 1981 8.0700000000E+01 5.8104000000E+01 1.2105000000E+00 2.4210000000E-01 0.0000000000E+00 2.0175000000E+00 0.0000000000E+00 4.0350000000E-01 1.7754000000E+01 2.0175000000E-01 8.1000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1982 8.1150000000E+01 5.8428000000E+01 1.2172500000E+00 2.4345000000E-01 0.0000000000E+00 2.0287500000E+00 0.0000000000E+00 4.0575000000E-01 1.7853000000E+01 2.0287500000E-01 8.1000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1983 8.1750000000E+01 5.8860000000E+01 1.2262500000E+00 2.4525000000E-01 0.0000000000E+00 2.0437500000E+00 0.0000000000E+00 4.0875000000E-01 1.7985000000E+01 2.0437500000E-01 8.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1984 8.2350000000E+01 5.9292000000E+01 1.2352500000E+00 2.4705000000E-01 0.0000000000E+00 2.0587500000E+00 0.0000000000E+00 4.1175000000E-01 1.8117000000E+01 2.0587500000E-01 8.2000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1985 8.2800000000E+01 5.9616000000E+01 1.2420000000E+00 2.4840000000E-01 0.0000000000E+00 2.0700000000E+00 0.0000000000E+00 4.1400000000E-01 1.8216000000E+01 2.0700000000E-01 8.3000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1986 8.3400000000E+01 6.0048000000E+01 1.2510000000E+00 2.5020000000E-01 0.0000000000E+00 2.0850000000E+00 0.0000000000E+00 4.1700000000E-01 1.8348000000E+01 2.0850000000E-01 8.3000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1987 8.4000000000E+01 6.0480000000E+01 1.2600000000E+00 2.5200000000E-01 0.0000000000E+00 2.1000000000E+00 0.0000000000E+00 4.2000000000E-01 1.8480000000E+01 2.1000000000E-01 8.4000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1988 8.4450000000E+01 6.0804000000E+01 1.2667500000E+00 2.5335000000E-01 0.0000000000E+00 2.1112500000E+00 0.0000000000E+00 4.2225000000E-01 1.8579000000E+01 2.1112500000E-01 8.4000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1989 8.5050000000E+01 6.1236000000E+01 1.2757500000E+00 2.5515000000E-01 0.0000000000E+00 2.1262500000E+00 0.0000000000E+00 4.2525000000E-01 1.8711000000E+01 2.1262500000E-01 8.5000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1990 8.5650000000E+01 6.1668000000E+01 1.2847500000E+00 2.5695000000E-01 0.0000000000E+00 2.1412500000E+00 0.0000000000E+00 4.2825000000E-01 1.8843000000E+01 2.1412500000E-01 8.6000000000E-05 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
