 TITLE LINE 1 - Subbasin ID 4 | Simulation Years: 1981-2020
 TITLE LINE 2 - Source: TrabajoFM model
 TITLE LINE 3 - Units: kg/day | DRAINAGE_AREA (km²): {area_str}
 TITLE LINE 4 - Period: 1981-2020
 TITLE LINE 5 - 
 YEAR            FLOYR            SEDYR           ORGNYR           ORGPYR            NO3YR            NH3YR            NO2YR           MINPYR           CBODYR          DISOXYR           CHLAYR         SOLPSTYR         SRBPSTYR          BACTPYR         BACTLPYR          CMTL1YR          CMTL2YR          CMTL3YR
 1981 8.7000000000E+00 6.2640000000E+00 1.3050000000E-01 2.6100000000E-02 0.0000000000E+00 2.1750000000E-01 0.0000000000E+00 4.3500000000E-02 1.9140000000E+00 2.1750000000E-02 9.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1982 8.5500000000E+00 6.1560000000E+00 1.2825000000E-01 2.5650000000E-02 0.0000000000E+00 2.1375000000E-01 0.0000000000E+00 4.2750000000E-02 1.8810000000E+00 2.1375000000E-02 9.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1983 8.4000000000E+00 6.0480000000E+00 1.2600000000E-01 2.5200000000E-02 0.0000000000E+00 2.1000000000E-01 0.0000000000E+00 4.2000000000E-02 1.8480000000E+00 2.1000000000E-02 8.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1984 8.2500000000E+00 5.9400000000E+00 1.2375000000E-01 2.4750000000E-02 0.0000000000E+00 2.0625000000E-01 0.0000000000E+00 4.1250000000E-02 1.8150000000E+00 2.0625000000E-02 8.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1985 8.1000000000E+00 5.8320000000E+00 1.2150000000E-01 2.4300000000E-02 0.0000000000E+00 2.0250000000E-01 0.0000000000E+00 4.0500000000E-02 1.7820000000E+00 2.0250000000E-02 8.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1986 7.9500000000E+00 5.7240000000E+00 1.1925000000E-01 2.3850000000E-02 0.0000000000E+00 1.9875000000E-01 0.0000000000E+00 3.9750000000E-02 1.7490000000E+00 1.9875000000E-02 8.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1987 7.8000000000E+00 5.6160000000E+00 1.1700000000E-01 2.3400000000E-02 0.0000000000E+00 1.9500000000E-01 0.0000000000E+00 3.9000000000E-02 1.7160000000E+00 1.9500000000E-02 8.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1988 7.6500000000E+00 5.5080000000E+00 1.1475000000E-01 2.2950000000E-02 0.0000000000E+00 1.9125000000E-01 0.0000000000E+00 3.8250000000E-02 1.6830000000E+00 1.9125000000E-02 8.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1989 7.5000000000E+00 5.4000000000E+00 1.1250000000E-01 2.2500000000E-02 0.0000000000E+00 1.8750000000E-01 0.0000000000E+00 3.7500000000E-02 1.6500000000E+00 1.8750000000E-02 8.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
 1990 7.3500000000E+00 5.2920000000E+00 1.1025000000E-01 2.2050000000E-02 0.0000000000E+00 1.8375000000E-01 0.0000000000E+00 3.6750000000E-02 1.6170000000E+00 1.8375000000E-02 7.0000000000E-06 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00 0.0000000000E+00
